X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2019/06/23 19:05:12+00,12.25,12.79,12.04,12.08,15.22,13.62,14.08,92,35,1004.79,Chapel Hill Public Library,outside,35.932522,-79.035728,161435,-81,0,,6076
-79.035728,35.932522,2019/06/23 20:00:14+00,14.57,13.05,12.38,12.25,15.14,13.61,14.08,91,37,1004.29,Chapel Hill Public Library,outside,35.932522,-79.035728,164737,-85,5,,6077
-79.035728,35.932522,2019/06/23 20:00:14+00,14.57,13.05,12.38,12.25,15.14,13.61,14.08,91,37,1004.29,Chapel Hill Public Library,outside,35.932522,-79.035728,164737,-85,5,,6078
-79.035728,35.932522,2019/06/23 20:00:14+00,14.57,13.05,12.38,12.25,15.14,13.61,14.08,91,37,1004.29,Chapel Hill Public Library,outside,35.932522,-79.035728,164737,-85,5,,6079
-79.035728,35.932522,2019/06/23 21:04:15+00,15.05,14.14,13.13,12.69,15.11,13.62,14.08,93,33,1003.81,Chapel Hill Public Library,outside,35.932522,-79.035728,507,-82,1,,6080
-79.035728,35.932522,2019/06/23 21:04:15+00,15.05,14.14,13.13,12.69,15.11,13.62,14.08,93,33,1003.81,Chapel Hill Public Library,outside,35.932522,-79.035728,507,-82,1,,6081
-79.035728,35.932522,2019/06/23 21:04:15+00,15.05,14.14,13.13,12.69,15.11,13.62,14.08,93,33,1003.81,Chapel Hill Public Library,outside,35.932522,-79.035728,507,-82,1,,6082
-79.035728,35.932522,2019/06/23 22:03:30+00,14.34,14.3,13.95,13.37,15.07,13.64,14.08,94,33,1002.74,Chapel Hill Public Library,outside,35.932522,-79.035728,4062,-79,1,,6083
-79.035728,35.932522,2019/06/23 22:03:30+00,14.34,14.3,13.95,13.37,15.07,13.64,14.08,94,33,1002.74,Chapel Hill Public Library,outside,35.932522,-79.035728,4062,-79,1,,6084
-79.035728,35.932522,2019/06/23 22:03:30+00,14.34,14.3,13.95,13.37,15.07,13.64,14.08,94,33,1002.74,Chapel Hill Public Library,outside,35.932522,-79.035728,4062,-79,1,,6085
-79.035728,35.932522,2019/06/23 23:04:45+00,16.59,15.97,15.1,14.26,15.12,13.68,14.08,90,40,1002.28,Chapel Hill Public Library,outside,35.932522,-79.035728,7737,-78,0,,6086
